Country Name,Country Code,year_2010,year_2020
Afghanistan,AFG,15633856787,20143442151
Armenia,ARM,9260284938,12641697523
Azerbaijan,AZE,52909294792,42693000000
Bangladesh,BGD,1.15E+11,3.74E+11
Bahrain,BHR,25713271277,34723357447
Brunei Darussalam,BRN,13707370737,12005825759
Bhutan,BTN,1547991318,2325184481
Cambodia,KHM,11242275199,25872798012
China,CHN,6.09E+12,1.47E+13
Cyprus,CYP,25800247912,25008448886
Georgia,GEO,12243505583,15842922533
India,IND,1.68E+12,2.67E+12
Indonesia,IDN,7.55E+11,1.06E+12
"Iran, Islamic Rep.",IRN,4.87E+11,2.40E+11
Iraq,IRQ,1.39E+11,1.84E+11
Israel,ISR,2.38E+11,4.13E+11
Jordan,JOR,27133804244,44182298292
Japan,JPN,5.76E+12,5.04E+12
Kazakhstan,KAZ,1.48E+11,1.71E+11
Kuwait,KWT,1.15E+11,1.06E+11
Kyrgyz Republic,KGZ,4794357795,7780874537
Lao PDR,LAO,7131773633,18981800705
Lebanon,LBN,38443907042,31712128254
Malaysia,MYS,2.55E+11,3.37E+11
Maldives,MDV,2588176055,3746321936
Myanmar,MMR,37796052939,78930257227
Mongolia,MNG,7189481824,13312981595
Nepal,NPL,16002656434,33433670512
North Korea,PRK,,
Oman,OMN,64993498049,75909397659
Pakistan,PAK,1.77E+11,3.00E+11
Philippines,PHL,2.08E+11,3.62E+11
Qatar,QAT,1.25E+11,1.44E+11
Saudi Arabia,SAU,5.28E+11,7.03E+11
Singapore,SGP,2.40E+11,3.45E+11
South Korea,KOR,1.14E+12,1.64E+12
Sri Lanka,LKA,58636150710,85349112171
Syrian Arab Republic,SYR,2.53E+11,11079795397
Thailand,THA,3.41E+11,5.00E+11
Tajikistan,TJK,5642178580,8133996648
Timor-Leste,TLS,881827794.9,2158392540
Turkey,TUR,7.77E+11,7.20E+11
Turkmenistan,TKM,22583157895,
United Arab Emirates,ARE,2.90E+11,3.49E+11
Uzbekistan,UZB,49765676402,59894305353
Vietnam,VNM,1.47E+11,3.47E+11
"Yemen, Rep.",YEM,30906749533,
