Country Name,Country Code,year_2010,year_2020
Afghanistan,AFG,6.099,4.75
Armenia,ARM,1.501,1.575
Azerbaijan,AZE,1.92,1.7
Bangladesh,BGD,2.34,2.003
Bahrain,BHR,2.053,1.832
Bhutan,BTN,2.296,1.433
Brunei Darussalam,BRN,1.937,1.796
Cambodia,KHM,2.774,2.381
China,CHN,1.687,1.281
Cyprus,CYP,1.438,1.328
Georgia,GEO,1.919,1.971
India,IND,2.603,2.051
Indonesia,IDN,2.452,2.194
"Iran, Islamic Rep.",IRN,1.768,1.708
Iraq,IRQ,4.429,3.551
Israel,ISR,3.03,2.9
Jordan,JOR,3.778,2.873
Japan,JPN,1.39,1.34
Kazakhstan,KAZ,2.59,3.13
Kyrgyz Republic,KGZ,3.1,3
Kuwait,KWT,2.257,2.14
Lao PDR,LAO,3.145,2.541
Lebanon,LBN,2.126,2.103
Malaysia,MYS,2.144,1.818
Maldives,MDV,2.318,1.712
Myanmar,MMR,2.346,2.174
Mongolia,MNG,2.513,2.9
Nepal,NPL,2.512,2.055
North Korea,PRK,1.809,1.818
Oman,OMN,2.943,2.687
Pakistan,PAK,4.297,3.555
Philippines,PHL,3.264,2.777
Qatar,QAT,2.087,1.816
Saudi Arabia,SAU,2.853,2.465
Singapore,SGP,1.15,1.1
South Korea,KOR,1.226,0.837
Sri Lanka,LKA,2.196,2
Syrian Arab Republic,SYR,3.404,2.798
Thailand,THA,1.576,1.341
Tajikistan,TJK,3.457,3.237
Timor-Leste,TLS,4.845,3.247
Turkey,TUR,2.137,1.917
Turkmenistan,TKM,2.833,2.701
United Arab Emirates,ARE,1.79,1.46
Uzbekistan,UZB,2.342,2.9
Vietnam,VNM,1.895,1.955
"Yemen, Rep.",YEM,4.855,3.886
